ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Genetic Inference,,FOUND
2,Probability in Genetics,1,PROB
3,Conditional Probability,2,PROB
4,Bayesian Reasoning,3,PROB
5,Prior Probability,4,PROB
6,Posterior Probability,4|5,PROB
7,Likelihood Ratio,4|6,PROB
8,Pedigree Analysis,1|2,PED
9,Autosomal Dominant Pedigree,8,PED
10,Autosomal Recessive Pedigree,8,PED
11,X-Linked Inheritance,8,PED
12,X-Linked Recessive Pedigree,11,PED
13,X-Linked Dominant Pedigree,11,PED
14,Carrier Probability,4|10,PED
15,Penetrance,8|1,PED
16,Incomplete Penetrance,15,PED
17,Expressivity,15,PED
18,Variable Expressivity,17,PED
19,Phenocopy,15|17,PED
20,Genetic Heterogeneity,1,PED
21,Locus Heterogeneity,20,PED
22,Allelic Heterogeneity,20,PED
23,Epistasis,1,PED
24,Duplicate Epistasis,23,PED
25,Complementary Epistasis,23,PED
26,Suppressor Epistasis,23,PED
27,Epistatic Pathway Analysis,23|26,PED
28,Complementation Test,1|23,PED
29,Complementation Group,28,PED
30,Cis-Trans Test,28,PED
31,Allelism,28|29,PED
32,Functional Allelism,31,PED
33,Chi-Square Test,2,PROB
34,Goodness of Fit Test,33,PROB
35,Test Cross,1,PED
36,Reciprocal Cross,35,PED
37,Null Hypothesis in Genetics,33,PROB
38,P-Value Interpretation,37,PROB
39,Modified Mendelian Ratios,23|33,PED
40,Lethal Alleles,1,PED
41,Pleiotropy,1,PED
42,Genetic Background Effects,23|41,PED
43,Age of Onset,15|16,PED
44,Anticipation,43,PED
45,Genomic Imprinting,66,PED
46,Parent of Origin Effects,45,PED
47,Uniparental Disomy,45|106,PED
48,Mosaicism,1,PED
49,Somatic Mosaicism,48,PED
50,Germline Mosaicism,48,PED
51,Genome Organization,,FOUND
52,Chromosome Structure,51,GSTR
53,Euchromatin,52|59,GSTR
54,Heterochromatin,52|59,GSTR
55,Constitutive Heterochromatin,54,GSTR
56,Facultative Heterochromatin,54,GSTR
57,Centromere Structure,52,GSTR
58,Telomere Structure,52,GSTR
59,Chromatin,52,GSTR
60,Nucleosome,59,GSTR
61,Histone Proteins,60,GSTR
62,Histone Modifications,61,GSTR
63,Histone Acetylation,62,GSTR
64,Histone Methylation,62,GSTR
65,Chromatin Remodeling,62|59,GSTR
66,Epigenetics,62|68,GSTR
67,DNA Methylation,66,GSTR
68,CpG Islands,51,GSTR
69,Epigenetic Inheritance,66|67,GSTR
70,X-Inactivation,56|66,GSTR
71,Dosage Compensation,70,GSTR
72,Barr Body,70,GSTR
73,Genetic Variation,51,GVAR
